job_base_id,load_type,n_elements,max_error_uy_mm,rms_error_uy_mm
5,UDL,4,6.652754426651e-02,3.309588935910e-02
5,UDL,8,1.021673001235e-01,5.282828591606e-02
5,UDL,16,1.110772390845e-01,5.738202999950e-02
5,UDL,100,1.139711927785e-01,5.801184512992e-02
6,Triangular,4,4.484669278611e-02,2.234360768543e-02
6,Triangular,8,7.393393103032e-02,3.818551027337e-02
6,Triangular,16,8.120922103344e-02,4.167501605544e-02
6,Triangular,100,8.357238719171e-02,4.214699664952e-02
7,Parabolic,4,3.353602026805e-02,1.679316579775e-02
7,Parabolic,8,5.778311979368e-02,2.982254729092e-02
7,Parabolic,16,6.386490723139e-02,3.263121941535e-02
7,Parabolic,100,6.584172149745e-02,3.300405681811e-02